id	genres	title
1	Animation,Children's,Comedy	Toy,Story,1995
2	Adventure,Children's,Fantasy	Jumanji,1995
3	Comedy,Romance	Grumpier,Old,Men,1995
4	Comedy,Drama	Waiting,to,Exhale,1995
5	Comedy	Father,of,the,Bride,Part,II,1995
6	Action,Crime,Thriller	Heat,1995
7	Comedy,Romance	Sabrina,1995
8	Adventure,Children's	Tom,and,Huck,1995
9	Action	Sudden,Death,1995
10	Action,Adventure,Thriller	GoldenEye,1995
11	Comedy,Drama,Romance	American,President,The,1995
12	Comedy,Horror	Dracula:,Dead,and,Loving,It,1995
13	Animation,Children's	Balto,1995
14	Drama	Nixon,1995
15	Action,Adventure,Romance	Cutthroat,Island,1995
16	Drama,Thriller	Casino,1995
17	Drama,Romance	Sense,and,Sensibility,1995
18	Thriller	Four,Rooms,1995
19	Comedy	Ace,Ventura:,When,Nature,Calls,1995
20	Action	Money,Train,1995
21	Action,Comedy,Drama	Get,Shorty,1995
22	Crime,Drama,Thriller	Copycat,1995
23	Thriller	Assassins,1995
24	Drama,Sci-Fi	Powder,1995
25	Drama,Romance	Leaving,Las,Vegas,1995
26	Drama	Othello,1995
27	Drama	Now,and,Then,1995
28	Romance	Persuasion,1995
29	Adventure,Sci-Fi	City,of,Lost,Children,The,1995
30	Drama	Shanghai,Triad,Yao,a,yao,yao,dao,waipo,qiao,1995
31	Drama	Dangerous,Minds,1995
32	Drama,Sci-Fi	Twelve,Monkeys,1995
33	Adventure,Romance	Wings,of,Courage,1995
34	Children's,Comedy,Drama	Babe,1995
35	Drama,Romance	Carrington,1995
36	Drama	Dead,Man,Walking,1995
37	Documentary	Across,the,Sea,of,Time,1995
38	Comedy	It,Takes,Two,1995
39	Comedy,Romance	Clueless,1995
40	Drama	Cry,the,Beloved,Country,1995
41	Drama,War	Richard,III,1995
42	Action,Crime,Drama	Dead,Presidents,1995
43	Drama	Restoration,1995
44	Action,Adventure	Mortal,Kombat,1995
45	Comedy,Drama	To,Die,For,1995
46	Drama,Romance	How,to,Make,an,American,Quilt,1995
