user	item	time	rating
1	595	978824268	5
1	588	978824268	4
1	1	978824268	5
1	2355	978824291	5
1	2294	978824291	4
1	783	978824291	4
1	1566	978824330	4
1	1907	978824330	4
1	48	978824351	5
2	457	978299773	4
2	1610	978299809	5
2	480	978299809	5
2	163	978299809	4
2	380	978299809	5
2	3418	978299809	4
2	349	978299839	4
2	1527	978299839	4
2	2353	978299861	4
2	1370	978299889	5
2	648	978299913	4
2	368	978300002	4
2	736	978300100	4
2	2002	978300100	5
2	1544	978300174	4
3	1394	978298147	4
3	1304	978298166	5
3	1079	978298296	5
3	1259	978298296	5
3	2355	978298430	5
3	3552	978298459	5
3	104	978298486	4
3	2081	978298504	4
4	1240	978294260	5
4	2951	978294282	4
4	1036	978294282	4
4	1954	978294282	5
5	1885	978245568	4
5	1392	978245645	4
5	1610	978245645	4
5	1732	978245740	5
5	1729	978245763	4
5	509	978245829	4
5	348	978245863	4
5	515	978245891	4
5	1715	978245891	4
5	506	978245999	4
5	377	978245999	4
5	1580	978245999	4
5	1921	978246162	4
5	1897	978246426	4
5	2427	978246450	5
5	551	978246504	4
5	2029	978246555	4
6	3578	978238195	4
6	3753	978238195	5
6	3536	978238230	5
6	3408	978238230	5
6	3624	978238256	4
6	3565	978238288	4
6	3717	978238371	4
6	920	978238851	4
6	1569	978238948	4
6	597	978239019	5
7	2353	978234874	5
7	380	978234874	5
7	1573	978234874	4
7	1722	978234874	4
7	3256	978234874	5
7	349	978234874	5
8	253	978230943	5
8	1589	978230943	4
8	24	978230966	4
8	269	978231121	4
8	151	978231150	4
8	465	978231173	5
8	3259	978231571	4
8	1836	978231592	4
8	266	978231614	4
8	230	978231637	4
8	1701	978231659	4
8	3528	978231687	4
8	105	978232056	4
8	1027	978232203	4
8	1274	978233462	5
8	1	978233496	4
8	741	978233526	5
9	1682	978226302	4
9	994	978226328	4
9	1921	978226368	4
9	590	978226434	5
9	480	978226448	4
9	2302	978226463	4
9	2268	978226495	4
9	529	978226564	5
9	349	978226564	4
9	524	978226599	4
9	16	978226599	4
9	1653	978226619	4
9	2278	978226665	4
9	2294	978226678	4
10	1196	979168108	5
10	2571	979168108	5
10	1127	979168108	4
10	1584	979168108	5
10	1097	979168108	5
10	1376	979168132	4
10	3175	979168132	5
10	1374	979168160	4
10	32	979168160	5
10	1200	979168160	5
10	2968	979168160	4
10	2407	979168184	5
10	2640	979168210	5
10	1129	979168210	4
10	2009	979168210	4
10	2	979168267	5
10	3466	979168267	5
10	1009	979168267	5
10	367	979168267	4
10	2797	979168267	5
10	1073	979168267	5
10	2140	979168295	5
10	3489	979168295	4
10	2193	979168295	5
10	2021	979168295	4
10	2105	979168309	5
10	1654	979168346	5
10	916	979168424	5
10	1136	979168424	4
10	1784	979168470	5
10	1223	979168470	5
10	745	979168564	5
10	2599	979168618	5
10	1225	979775131	4
10	318	979775159	4
10	720	979775240	5
